account,n_transactions,digit_1_actual,digit_1_expected,digit_2_actual,digit_2_expected,digit_3_actual,digit_3_expected,digit_4_actual,digit_4_expected,digit_5_actual,digit_5_expected,digit_6_actual,digit_6_expected,digit_7_actual,digit_7_expected,digit_8_actual,digit_8_expected,digit_9_actual,digit_9_expected,max_deviation,flag
Accounts Receivable,829,0.527,0.301,0.194,0.176,0.053,0.125,0.024,0.097,0.035,0.079,0.022,0.067,0.037,0.058,0.054,0.051,0.053,0.046,0.226,REVIEW
Travel & Expense,804,0.522,0.301,0.21,0.176,0.049,0.125,0.027,0.097,0.025,0.079,0.029,0.067,0.042,0.058,0.044,0.051,0.052,0.046,0.221,REVIEW
Utilities,841,0.518,0.301,0.205,0.176,0.058,0.125,0.033,0.097,0.033,0.079,0.031,0.067,0.03,0.058,0.036,0.051,0.056,0.046,0.217,REVIEW
Marketing Spend,790,0.514,0.301,0.208,0.176,0.051,0.125,0.019,0.097,0.029,0.079,0.033,0.067,0.041,0.058,0.043,0.051,0.063,0.046,0.213,REVIEW
Accounts Payable,817,0.498,0.301,0.18,0.176,0.067,0.125,0.026,0.097,0.032,0.079,0.028,0.067,0.047,0.058,0.062,0.051,0.06,0.046,0.197,REVIEW
Office Supplies,775,0.48,0.301,0.205,0.176,0.077,0.125,0.031,0.097,0.028,0.079,0.035,0.067,0.044,0.058,0.044,0.051,0.055,0.046,0.179,REVIEW
Payroll,856,0.124,0.301,0.161,0.176,0.186,0.125,0.168,0.097,0.136,0.079,0.09,0.067,0.064,0.058,0.039,0.051,0.033,0.046,0.177,REVIEW
Rent,799,0.464,0.301,0.111,0.176,0.031,0.125,0.024,0.097,0.046,0.079,0.063,0.067,0.085,0.058,0.089,0.051,0.086,0.046,0.163,REVIEW
Inventory,812,0.14,0.301,0.236,0.176,0.238,0.125,0.147,0.097,0.095,0.079,0.063,0.067,0.038,0.058,0.031,0.051,0.012,0.046,0.161,REVIEW
Consulting Fees,817,0.191,0.301,0.081,0.176,0.125,0.125,0.127,0.097,0.146,0.079,0.125,0.067,0.08,0.058,0.076,0.051,0.05,0.046,0.11,REVIEW
