transaction_id,n_tests_triggered,tests_triggered,reasons,ml_anomaly_score,ml_flag,risk_score,risk_level,date,time,department,account,vendor,amount,entry_type,posted_by,description,day_of_week,is_weekend,hour,month,day
JE108117,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,1.0,anomaly,0.9,High,2025-06-28,21:03:00,Finance,Accounts Receivable,Perez Inc,288843.6217261443,Debit,Julian Chapman,Period-end adjustment,Saturday,True,21,6,28
JE108130,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.9646,anomaly,0.8823,High,2025-09-28,21:26:00,Finance,Accounts Receivable,"Snyder, Campos and Callahan",143438.88643959837,Debit,Miranda Khan,Period-end adjustment,Sunday,True,21,9,28
JE108106,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.9311,anomaly,0.8656,High,2025-03-30,21:12:00,Finance,Accounts Receivable,James Group,209130.62893082952,Debit,Brandon Hopkins,Period-end adjustment,Sunday,True,21,3,30
JE108102,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.9241,anomaly,0.862,High,2025-03-29,22:47:00,Finance,Accounts Payable,Perez Inc,247911.9880448421,Debit,Julian Chapman,Period-end adjustment,Saturday,True,22,3,29
JE108127,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method) | Month-end late-hour posting,0.8959,anomaly,0.848,High,2025-09-28,21:20:00,Finance,Office Supplies,James Group,206093.8259499696,Debit,Andre Rivera,Period-end adjustment,Sunday,True,21,9,28
JE108054,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.8478,anomaly,0.8239,High,2025-11-17,14:10:30,Procurement,Consulting Fees,QuickPay Consulting Ltd,427043.9506255827,Debit,Tanya Campos,Advisory services,Monday,False,14,11,17
JE108068,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.8428,anomaly,0.8214,High,2025-07-21,08:45:20,Procurement,Consulting Fees,QuickPay Consulting Ltd,265229.94460066955,Debit,Clifford Ford,Advisory services,Monday,False,8,7,21
JE108055,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.841,anomaly,0.8205,High,2025-12-01,10:23:16,Procurement,Consulting Fees,QuickPay Consulting Ltd,201317.60822311568,Debit,David Brown,Advisory services,Monday,False,10,12,1
JE108112,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method) | Month-end late-hour posting,0.8327,anomaly,0.8164,High,2025-06-28,21:40:00,Finance,Utilities,"Ferrell, Rice and Maddox",152390.7018841812,Debit,Michelle Ross,Period-end adjustment,Saturday,True,21,6,28
JE108115,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method) | Month-end late-hour posting,0.832,anomaly,0.816,High,2025-06-30,21:18:00,Finance,Office Supplies,Blair PLC,325063.9823094396,Debit,Corey Herrera,Period-end adjustment,Monday,False,21,6,30
JE108075,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.8136,anomaly,0.8068,High,2025-09-04,16:25:42,Procurement,Consulting Fees,QuickPay Consulting Ltd,323072.84646623285,Debit,Nicholas Mcbride,Advisory services,Thursday,False,16,9,4
JE108071,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.8079,anomaly,0.8039,High,2025-10-06,09:58:32,Procurement,Consulting Fees,QuickPay Consulting Ltd,247782.9790296131,Debit,Clifford Ford,Advisory services,Monday,False,9,10,6
JE108080,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.8025,anomaly,0.8012,High,2025-12-01,08:38:47,Procurement,Consulting Fees,QuickPay Consulting Ltd,163798.17513473434,Debit,Brandon Hopkins,Advisory services,Monday,False,8,12,1
