transaction_id,n_tests_triggered,tests_triggered,reasons,ml_anomaly_score,ml_flag,risk_score,risk_level
JE108117,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,1.0,anomaly,0.9,High
JE108130,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.9646,anomaly,0.8823,High
JE108106,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.9311,anomaly,0.8656,High
JE108102,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.9241,anomaly,0.862,High
JE108127,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method) | Month-end late-hour posting,0.8959,anomaly,0.848,High
JE108054,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.8478,anomaly,0.8239,High
JE108068,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.8428,anomaly,0.8214,High
JE108055,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.841,anomaly,0.8205,High
JE108112,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method) | Month-end late-hour posting,0.8327,anomaly,0.8164,High
JE108115,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method) | Month-end late-hour posting,0.832,anomaly,0.816,High
JE108075,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.8136,anomaly,0.8068,High
JE108071,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.8079,anomaly,0.8039,High
JE108080,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.8025,anomaly,0.8012,High
JE108119,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method) | Month-end late-hour posting,0.7996,anomaly,0.7998,High
JE108118,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method) | Month-end late-hour posting,0.7662,anomaly,0.7831,High
JE108128,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.72,anomaly,0.76,High
JE108067,1.0,statistical_outlier,Statistical outlier for account 'Consulting Fees' (IQR method),0.7148,anomaly,0.7574,High
JE108129,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting,0.7124,anomaly,0.7562,High
JE108094,1.0,statistical_outlier,Statistical outlier for account 'Inventory' (IQR method),0.7116,anomaly,0.7558,High
JE108113,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method) | Month-end late-hour posting,0.7053,anomaly,0.7526,High
JE108132,3.0,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method) | Month-end late-hour posting,0.6985,anomaly,0.7492,High
JE108040,2.0,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method),0.6877,anomaly,0.7438,High
JE108140,2.0,"statistical_outlier, month_end_late_hour_posting",Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting,0.6865,anomaly,0.7432,High
