transaction_id,ml_anomaly_score,ml_flag
JE105798,0.2984,normal
JE104304,0.3153,normal
JE101129,0.2455,normal
JE105363,0.1821,normal
JE103785,0.331,normal
JE100245,0.2134,normal
JE102639,0.2693,normal
JE102135,0.2461,normal
JE107959,0.2868,normal
JE106798,0.2988,normal
JE104547,0.1897,normal
JE106698,0.1615,normal
JE104748,0.4172,normal
JE104450,0.4568,anomaly
JE105261,0.4466,anomaly
JE107985,0.1575,normal
JE103703,0.344,normal
JE103144,0.2717,normal
JE108059,0.6227,anomaly
JE104516,0.4132,normal
JE101635,0.1708,normal
JE104333,0.239,normal
JE106689,0.2701,normal
JE107978,0.1951,normal
JE103158,0.355,normal
JE107921,0.1987,normal
JE104887,0.3035,normal
JE103445,0.2387,normal
JE104101,0.1844,normal
JE101128,0.3065,normal
JE106590,0.2421,normal
JE100159,0.3266,normal
JE102382,0.2263,normal
JE107049,0.258,normal
JE107314,0.141,normal
JE106851,0.2301,normal
JE100163,0.2012,normal
JE106832,0.3987,normal
JE105275,0.1659,normal
JE103682,0.1449,normal
JE102709,0.264,normal
JE104876,0.4077,normal
JE106495,0.2088,normal
JE104408,0.1798,normal
JE102675,0.2656,normal
JE105444,0.1756,normal
JE108021,0.4582,anomaly
JE106207,0.3807,normal
JE100894,0.3321,normal
JE100095,0.1624,normal
JE107612,0.3546,normal
JE100446,0.4471,anomaly
JE105205,0.2934,normal
JE100122,0.2328,normal
JE107827,0.1958,normal
JE100113,0.1991,normal
JE106427,0.3385,normal
JE105255,0.2624,normal
JE104923,0.2591,normal
JE103415,0.3819,normal
JE102681,0.3932,normal
JE102893,0.3583,normal
JE100103,0.1793,normal
JE106178,0.1045,normal
JE103640,0.2509,normal
JE107440,0.3949,normal
JE104905,0.1967,normal
JE107243,0.0977,normal
JE104713,0.103,normal
JE101858,0.2902,normal
JE106473,0.137,normal
JE106161,0.1054,normal
JE102970,0.2098,normal
JE100876,0.1485,normal
JE104458,0.2237,normal
JE101815,0.1882,normal
JE101754,0.2024,normal
JE104980,0.163,normal
JE104725,0.4613,anomaly
JE107613,0.1909,normal
JE105990,0.242,normal
JE106993,0.2352,normal
JE103754,0.3831,normal
JE107787,0.3697,normal
JE102367,0.1862,normal
JE106877,0.2776,normal
JE101430,0.3204,normal
JE103003,0.2644,normal
JE107647,0.2792,normal
JE103931,0.2276,normal
JE102293,0.1872,normal
JE104680,0.2536,normal
JE100141,0.2838,normal
JE108032,0.5733,anomaly
JE107580,0.3344,normal
JE104620,0.342,normal
JE101114,0.3958,normal
JE101778,0.1632,normal
JE105278,0.2096,normal
JE105385,0.1589,normal
