transaction_id,n_tests_triggered,tests_triggered,reasons
JE104741,1,duplicate,Duplicate vendor+amount+date combination
JE100308,1,duplicate,Duplicate vendor+amount+date combination
JE103229,1,duplicate,Duplicate vendor+amount+date combination
JE104206,1,duplicate,Duplicate vendor+amount+date combination
JE108010,1,duplicate,Duplicate vendor+amount+date combination
JE105607,1,duplicate,Duplicate vendor+amount+date combination
JE103612,1,duplicate,Duplicate vendor+amount+date combination
JE108006,1,duplicate,Duplicate vendor+amount+date combination
JE103492,1,duplicate,Duplicate vendor+amount+date combination
JE108013,1,duplicate,Duplicate vendor+amount+date combination
JE108011,1,duplicate,Duplicate vendor+amount+date combination
JE108005,1,duplicate,Duplicate vendor+amount+date combination
JE102746,1,duplicate,Duplicate vendor+amount+date combination
JE108014,1,duplicate,Duplicate vendor+amount+date combination
JE108002,1,duplicate,Duplicate vendor+amount+date combination
JE108015,1,duplicate,Duplicate vendor+amount+date combination
JE100075,1,duplicate,Duplicate vendor+amount+date combination
JE108008,1,duplicate,Duplicate vendor+amount+date combination
JE108007,1,duplicate,Duplicate vendor+amount+date combination
JE108004,1,duplicate,Duplicate vendor+amount+date combination
JE104825,1,duplicate,Duplicate vendor+amount+date combination
JE101308,1,duplicate,Duplicate vendor+amount+date combination
JE108012,1,duplicate,Duplicate vendor+amount+date combination
JE108001,1,duplicate,Duplicate vendor+amount+date combination
JE103153,1,duplicate,Duplicate vendor+amount+date combination
JE108003,1,duplicate,Duplicate vendor+amount+date combination
JE108009,1,duplicate,Duplicate vendor+amount+date combination
JE101830,1,duplicate,Duplicate vendor+amount+date combination
JE102933,1,duplicate,Duplicate vendor+amount+date combination
JE101186,1,duplicate,Duplicate vendor+amount+date combination
JE108021,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Travel & Expense' (IQR method)
JE108032,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Utilities' (IQR method)
JE108033,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Marketing Spend' (IQR method)
JE108022,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Payroll' (IQR method)
JE108026,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Accounts Payable' (IQR method)
JE108025,1,round_number,Round-number amount
JE108018,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Accounts Receivable' (IQR method)
JE108028,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Office Supplies' (IQR method)
JE108034,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Accounts Payable' (IQR method)
JE108023,1,round_number,Round-number amount
JE108027,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Accounts Receivable' (IQR method)
JE108031,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Marketing Spend' (IQR method)
JE108016,3,"round_number, off_hours_weekend, statistical_outlier",Round-number amount | Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method)
JE108029,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Utilities' (IQR method)
JE108035,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Rent' (IQR method)
JE108019,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Rent' (IQR method)
JE108017,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Consulting Fees' (IQR method)
JE108030,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Consulting Fees' (IQR method)
JE108020,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Travel & Expense' (IQR method)
JE108024,2,"round_number, statistical_outlier",Round-number amount | Statistical outlier for account 'Marketing Spend' (IQR method)
JE105798,1,off_hours_weekend,Posted on weekend or outside business hours
JE106798,1,off_hours_weekend,Posted on weekend or outside business hours
JE103445,1,off_hours_weekend,Posted on weekend or outside business hours
JE106427,1,off_hours_weekend,Posted on weekend or outside business hours
JE107440,1,off_hours_weekend,Posted on weekend or outside business hours
JE103754,1,off_hours_weekend,Posted on weekend or outside business hours
JE107054,1,off_hours_weekend,Posted on weekend or outside business hours
JE108129,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting
JE103759,1,off_hours_weekend,Posted on weekend or outside business hours
JE106881,1,off_hours_weekend,Posted on weekend or outside business hours
JE107398,1,off_hours_weekend,Posted on weekend or outside business hours
JE102420,1,off_hours_weekend,Posted on weekend or outside business hours
JE104052,1,off_hours_weekend,Posted on weekend or outside business hours
JE101075,1,off_hours_weekend,Posted on weekend or outside business hours
JE100897,1,off_hours_weekend,Posted on weekend or outside business hours
JE108130,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method) | Month-end late-hour posting
JE105771,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method)
JE105874,1,off_hours_weekend,Posted on weekend or outside business hours
JE104087,1,off_hours_weekend,Posted on weekend or outside business hours
JE101926,1,off_hours_weekend,Posted on weekend or outside business hours
JE107289,1,off_hours_weekend,Posted on weekend or outside business hours
JE101916,1,off_hours_weekend,Posted on weekend or outside business hours
JE101902,1,off_hours_weekend,Posted on weekend or outside business hours
JE101498,1,off_hours_weekend,Posted on weekend or outside business hours
JE101941,1,off_hours_weekend,Posted on weekend or outside business hours
JE104085,1,off_hours_weekend,Posted on weekend or outside business hours
JE102606,1,off_hours_weekend,Posted on weekend or outside business hours
JE100434,1,off_hours_weekend,Posted on weekend or outside business hours
JE100701,1,off_hours_weekend,Posted on weekend or outside business hours
JE103020,1,off_hours_weekend,Posted on weekend or outside business hours
JE101798,1,off_hours_weekend,Posted on weekend or outside business hours
JE103861,1,off_hours_weekend,Posted on weekend or outside business hours
JE103618,1,off_hours_weekend,Posted on weekend or outside business hours
JE101194,1,off_hours_weekend,Posted on weekend or outside business hours
JE102262,1,off_hours_weekend,Posted on weekend or outside business hours
JE103610,1,off_hours_weekend,Posted on weekend or outside business hours
JE105225,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method)
JE101647,1,off_hours_weekend,Posted on weekend or outside business hours
JE103172,1,off_hours_weekend,Posted on weekend or outside business hours
JE105371,1,off_hours_weekend,Posted on weekend or outside business hours
JE102344,1,off_hours_weekend,Posted on weekend or outside business hours
JE100789,1,off_hours_weekend,Posted on weekend or outside business hours
JE104703,1,off_hours_weekend,Posted on weekend or outside business hours
JE101084,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method)
JE106357,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method)
JE100577,1,off_hours_weekend,Posted on weekend or outside business hours
JE100413,1,off_hours_weekend,Posted on weekend or outside business hours
JE105087,1,off_hours_weekend,Posted on weekend or outside business hours
JE104565,1,off_hours_weekend,Posted on weekend or outside business hours
JE107553,1,off_hours_weekend,Posted on weekend or outside business hours
JE101087,1,off_hours_weekend,Posted on weekend or outside business hours
JE102533,1,off_hours_weekend,Posted on weekend or outside business hours
JE100452,1,off_hours_weekend,Posted on weekend or outside business hours
JE105324,1,off_hours_weekend,Posted on weekend or outside business hours
JE102070,1,off_hours_weekend,Posted on weekend or outside business hours
JE105718,1,off_hours_weekend,Posted on weekend or outside business hours
JE106298,1,off_hours_weekend,Posted on weekend or outside business hours
JE104284,1,off_hours_weekend,Posted on weekend or outside business hours
JE102785,1,off_hours_weekend,Posted on weekend or outside business hours
JE102587,1,off_hours_weekend,Posted on weekend or outside business hours
JE100763,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method)
JE100552,1,off_hours_weekend,Posted on weekend or outside business hours
JE105466,1,off_hours_weekend,Posted on weekend or outside business hours
JE103185,1,off_hours_weekend,Posted on weekend or outside business hours
JE100080,1,off_hours_weekend,Posted on weekend or outside business hours
JE104969,2,"off_hours_weekend, month_end_late_hour_posting",Posted on weekend or outside business hours | Month-end late-hour posting
JE102574,1,off_hours_weekend,Posted on weekend or outside business hours
JE104000,1,off_hours_weekend,Posted on weekend or outside business hours
JE108053,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method)
JE101325,1,off_hours_weekend,Posted on weekend or outside business hours
JE104229,1,off_hours_weekend,Posted on weekend or outside business hours
JE101705,1,off_hours_weekend,Posted on weekend or outside business hours
JE103548,1,off_hours_weekend,Posted on weekend or outside business hours
JE104221,1,off_hours_weekend,Posted on weekend or outside business hours
JE105305,1,off_hours_weekend,Posted on weekend or outside business hours
JE108050,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Receivable' (IQR method)
JE100403,1,off_hours_weekend,Posted on weekend or outside business hours
JE108134,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Payroll' (IQR method) | Month-end late-hour posting
JE104362,1,off_hours_weekend,Posted on weekend or outside business hours
JE106782,1,off_hours_weekend,Posted on weekend or outside business hours
JE102800,1,off_hours_weekend,Posted on weekend or outside business hours
JE103996,1,off_hours_weekend,Posted on weekend or outside business hours
JE106857,1,off_hours_weekend,Posted on weekend or outside business hours
JE102927,1,off_hours_weekend,Posted on weekend or outside business hours
JE104944,1,off_hours_weekend,Posted on weekend or outside business hours
JE106901,1,off_hours_weekend,Posted on weekend or outside business hours
JE104443,1,off_hours_weekend,Posted on weekend or outside business hours
JE108128,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method) | Month-end late-hour posting
JE101499,1,off_hours_weekend,Posted on weekend or outside business hours
JE104236,1,off_hours_weekend,Posted on weekend or outside business hours
JE107960,1,off_hours_weekend,Posted on weekend or outside business hours
JE104025,1,off_hours_weekend,Posted on weekend or outside business hours
JE101408,1,off_hours_weekend,Posted on weekend or outside business hours
JE107297,1,off_hours_weekend,Posted on weekend or outside business hours
JE103477,1,off_hours_weekend,Posted on weekend or outside business hours
JE104916,1,off_hours_weekend,Posted on weekend or outside business hours
JE106227,1,off_hours_weekend,Posted on weekend or outside business hours
JE103810,1,off_hours_weekend,Posted on weekend or outside business hours
JE106043,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Utilities' (IQR method)
JE105659,1,off_hours_weekend,Posted on weekend or outside business hours
JE103520,1,off_hours_weekend,Posted on weekend or outside business hours
JE108043,1,off_hours_weekend,Posted on weekend or outside business hours
JE100624,1,off_hours_weekend,Posted on weekend or outside business hours
JE105181,1,off_hours_weekend,Posted on weekend or outside business hours
JE100771,1,off_hours_weekend,Posted on weekend or outside business hours
JE101230,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Accounts Payable' (IQR method)
JE100713,1,off_hours_weekend,Posted on weekend or outside business hours
JE104709,1,off_hours_weekend,Posted on weekend or outside business hours
JE108044,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Marketing Spend' (IQR method)
JE106763,1,off_hours_weekend,Posted on weekend or outside business hours
JE106068,1,off_hours_weekend,Posted on weekend or outside business hours
JE106940,1,off_hours_weekend,Posted on weekend or outside business hours
JE100333,1,off_hours_weekend,Posted on weekend or outside business hours
JE100148,1,off_hours_weekend,Posted on weekend or outside business hours
JE105864,1,off_hours_weekend,Posted on weekend or outside business hours
JE100351,1,off_hours_weekend,Posted on weekend or outside business hours
JE104097,1,off_hours_weekend,Posted on weekend or outside business hours
JE108045,1,off_hours_weekend,Posted on weekend or outside business hours
JE102851,1,off_hours_weekend,Posted on weekend or outside business hours
JE104553,1,off_hours_weekend,Posted on weekend or outside business hours
JE107118,1,off_hours_weekend,Posted on weekend or outside business hours
JE106277,1,off_hours_weekend,Posted on weekend or outside business hours
JE104470,1,off_hours_weekend,Posted on weekend or outside business hours
JE105637,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Rent' (IQR method)
JE103372,1,off_hours_weekend,Posted on weekend or outside business hours
JE101443,1,off_hours_weekend,Posted on weekend or outside business hours
JE101731,1,off_hours_weekend,Posted on weekend or outside business hours
JE102014,1,off_hours_weekend,Posted on weekend or outside business hours
JE104192,1,off_hours_weekend,Posted on weekend or outside business hours
JE101931,1,off_hours_weekend,Posted on weekend or outside business hours
JE105121,1,off_hours_weekend,Posted on weekend or outside business hours
JE105182,1,off_hours_weekend,Posted on weekend or outside business hours
JE101353,1,off_hours_weekend,Posted on weekend or outside business hours
JE101043,1,off_hours_weekend,Posted on weekend or outside business hours
JE105246,1,off_hours_weekend,Posted on weekend or outside business hours
JE107981,1,off_hours_weekend,Posted on weekend or outside business hours
JE105193,1,off_hours_weekend,Posted on weekend or outside business hours
JE104561,2,"off_hours_weekend, month_end_late_hour_posting",Posted on weekend or outside business hours | Month-end late-hour posting
JE100464,1,off_hours_weekend,Posted on weekend or outside business hours
JE103815,1,off_hours_weekend,Posted on weekend or outside business hours
JE105912,1,off_hours_weekend,Posted on weekend or outside business hours
JE103693,1,off_hours_weekend,Posted on weekend or outside business hours
JE106128,1,off_hours_weekend,Posted on weekend or outside business hours
JE100890,1,off_hours_weekend,Posted on weekend or outside business hours
JE100158,1,off_hours_weekend,Posted on weekend or outside business hours
JE107261,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Travel & Expense' (IQR method)
JE101516,1,off_hours_weekend,Posted on weekend or outside business hours
JE106285,1,off_hours_weekend,Posted on weekend or outside business hours
JE102312,1,off_hours_weekend,Posted on weekend or outside business hours
JE107122,1,off_hours_weekend,Posted on weekend or outside business hours
JE102984,1,off_hours_weekend,Posted on weekend or outside business hours
JE100640,1,off_hours_weekend,Posted on weekend or outside business hours
JE102457,1,off_hours_weekend,Posted on weekend or outside business hours
JE107810,1,off_hours_weekend,Posted on weekend or outside business hours
JE100180,2,"off_hours_weekend, statistical_outlier",Posted on weekend or outside business hours | Statistical outlier for account 'Office Supplies' (IQR method)
JE107003,1,off_hours_weekend,Posted on weekend or outside business hours
JE107119,1,off_hours_weekend,Posted on weekend or outside business hours
JE104587,1,off_hours_weekend,Posted on weekend or outside business hours
JE104540,1,off_hours_weekend,Posted on weekend or outside business hours
JE107434,1,off_hours_weekend,Posted on weekend or outside business hours
JE100979,1,off_hours_weekend,Posted on weekend or outside business hours
JE101796,1,off_hours_weekend,Posted on weekend or outside business hours
JE105219,2,"off_hours_weekend, month_end_late_hour_posting",Posted on weekend or outside business hours | Month-end late-hour posting
JE107050,1,off_hours_weekend,Posted on weekend or outside business hours
JE101699,1,off_hours_weekend,Posted on weekend or outside business hours
JE103613,1,off_hours_weekend,Posted on weekend or outside business hours
JE104637,1,off_hours_weekend,Posted on weekend or outside business hours
JE108111,2,"off_hours_weekend, month_end_late_hour_posting",Posted on weekend or outside business hours | Month-end late-hour posting
JE100084,1,off_hours_weekend,Posted on weekend or outside business hours
JE101524,1,off_hours_weekend,Posted on weekend or outside business hours
JE101389,1,off_hours_weekend,Posted on weekend or outside business hours
JE105228,1,off_hours_weekend,Posted on weekend or outside business hours
JE104694,1,off_hours_weekend,Posted on weekend or outside business hours
JE107258,1,off_hours_weekend,Posted on weekend or outside business hours
JE105224,1,off_hours_weekend,Posted on weekend or outside business hours
JE105461,1,off_hours_weekend,Posted on weekend or outside business hours
JE104898,1,off_hours_weekend,Posted on weekend or outside business hours
JE107887,1,off_hours_weekend,Posted on weekend or outside business hours
JE106011,1,off_hours_weekend,Posted on weekend or outside business hours
JE103553,1,off_hours_weekend,Posted on weekend or outside business hours
JE100326,1,off_hours_weekend,Posted on weekend or outside business hours
JE101181,1,off_hours_weekend,Posted on weekend or outside business hours
JE108123,3,"off_hours_weekend, statistical_outlier, month_end_late_hour_posting",Posted on weekend or outside business hours | Statistical outlier for account 'Inventory' (IQR method) | Month-end late-hour posting
JE107713,2,"off_hours_weekend, month_end_late_hour_posting",Posted on weekend or outside business hours | Month-end late-hour posting
JE106036,1,off_hours_weekend,Posted on weekend or outside business hours
JE106880,1,off_hours_weekend,Posted on weekend or outside business hours
JE107014,1,off_hours_weekend,Posted on weekend or outside business hours
JE101228,1,off_hours_weekend,Posted on weekend or outside business hours
JE100325,1,off_hours_weekend,Posted on weekend or outside business hours
JE103378,1,off_hours_weekend,Posted on weekend or outside business hours
JE107413,1,off_hours_weekend,Posted on weekend or outside business hours
JE106728,1,off_hours_weekend,Posted on weekend or outside business hours
JE101097,1,off_hours_weekend,Posted on weekend or outside business hours
JE102856,1,off_hours_weekend,Posted on weekend or outside business hours
JE106136,1,off_hours_weekend,Posted on weekend or outside business hours
JE101606,1,off_hours_weekend,Posted on weekend or outside business hours
JE103753,1,off_hours_weekend,Posted on weekend or outside business hours
JE105622,1,off_hours_weekend,Posted on weekend or outside business hours
JE102742,1,off_hours_weekend,Posted on weekend or outside business hours
JE101387,1,off_hours_weekend,Posted on weekend or outside business hours
JE102316,1,off_hours_weekend,Posted on weekend or outside business hours
JE101284,1,off_hours_weekend,Posted on weekend or outside business hours
JE105728,1,off_hours_weekend,Posted on weekend or outside business hours
JE106445,1,off_hours_weekend,Posted on weekend or outside business hours
JE102519,1,off_hours_weekend,Posted on weekend or outside business hours
